"country","publicationDate","rank"
"Ireland","2008-01-01",478426
"Jamaica","2008-01-01",4679101
"Japan","2008-01-01",315077
"Netherlands","2008-01-01",37340708
"Philippines","2008-01-01",2523200
"Poland","2008-01-01",1238025
"Spain","2008-01-01",1451320
"Sweden","2008-01-01",140964836
"United Kingdom","2008-01-01",78663621
"United States","2008-01-01",324445302
"Argentina","2009-01-01",272218
"Australia","2009-01-01",91295
"Belgium","2009-01-01",1247496
"Canada","2009-01-01",11521311
"Finland","2009-01-01",14196635
"France","2009-01-01",3053844
"Germany","2009-01-01",1361800
"Italy","2009-01-01",980432
"Jamaica","2009-01-01",4729042
"Japan","2009-01-01",3203698
"Moldova","2009-01-01",278517
"Netherlands","2009-01-01",8654854
"Philippines","2009-01-01",1797185
"Saint Vincent and The Grenadines","2009-01-01",305059
"South Africa","2009-01-01",1006920
"Sweden","2009-01-01",567612
"United Kingdom","2009-01-01",35838556
"United States","2009-01-01",343854507
"Australia","2010-01-01",2004619
"Belgium","2010-01-01",1132868
"Canada","2010-01-01",15053205
"Cuba","2010-01-01",293026
"Germany","2010-01-01",18157716
"Ireland","2010-01-01",3787581
"Jamaica","2010-01-01",1078131
"Netherlands","2010-01-01",12651919
"Philippines","2010-01-01",234334
"Poland","2010-01-01",500454
"Spain","2010-01-01",293550
"Sweden","2010-01-01",3169930
"United Kingdom","2010-01-01",22475140
"United States","2010-01-01",195477319
"Australia","2011-01-01",1271306
"Bosnia and Herzegovina","2011-01-01",3430007
"Brazil","2011-01-01",281731
"Canada","2011-01-01",4958848
"Denmark","2011-01-01",2064603
"Finland","2011-01-01",17955740
"Germany","2011-01-01",634267
"Greece","2011-01-01",1437095
"Italy","2011-01-01",213014
"Japan","2011-01-01",290099
"Netherlands","2011-01-01",4947907
"Poland","2011-01-01",886867
"South Africa","2011-01-01",8699656
"Sweden","2011-01-01",38351498
"United Kingdom","2011-01-01",39371572
"United States","2011-01-01",217678859
"Australia","2012-01-01",2984120
"Belgium","2012-01-01",309031
"Canada","2012-01-01",4731626
"Italy","2012-01-01",4259269
"Poland","2012-01-01",1801332
"South Africa","2012-01-01",64
"Sweden","2012-01-01",529754
"United Kingdom","2012-01-01",37294427
"United States","2012-01-01",49229311
"Australia","2013-01-01",5925950
"Belgium","2013-01-01",8438262
"Brazil","2013-01-01",1574600
"Canada","2013-01-01",2255538
"Finland","2013-01-01",11993915
"Germany","2013-01-01",22413901
"Jamaica","2013-01-01",460316
"Netherlands","2013-01-01",9547293
"Norway","2013-01-01",910269
"Poland","2013-01-01",310380
"South Africa","2013-01-01",538792
"Sweden","2013-01-01",19649338
"United Kingdom","2013-01-01",13010015
"United States","2013-01-01",117910658
"Australia","2014-01-01",313302
"Belgium","2014-01-01",2995477
"Brazil","2014-01-01",4785095
"Canada","2014-01-01",2608035
"Denmark","2014-01-01",60063
"Finland","2014-01-01",1448245
"France","2014-01-01",1467719
"Germany","2014-01-01",13565577
"India","2014-01-01",909915
"Italy","2014-01-01",9128002
"Moldova","2014-01-01",1111825
"Netherlands","2014-01-01",1921626
"Poland","2014-01-01",589725
"Puerto Rico","2014-01-01",825103
"Sweden","2014-01-01",18849340
"United Kingdom","2014-01-01",29026975
"United States","2014-01-01",123010125
"Australia","2015-01-01",1235535
"Belgium","2015-01-01",84186445
"Canada","2015-01-01",8630910
"Denmark","2015-01-01",1916083
"Finland","2015-01-01",16409200
"Germany","2015-01-01",24288864
"Ireland","2015-01-01",6158188
"Japan","2015-01-01",671179
"Moldova","2015-01-01",16541825
"Netherlands","2015-01-01",4550836
"Poland","2015-01-01",4583100
"South Africa","2015-01-01",2904512
"South Korea","2015-01-01",3085389
"Sweden","2015-01-01",3308826
"United Kingdom","2015-01-01",26776087
"United States","2015-01-01",283899793
"Bosnia and Herzegovina","2016-01-01",597438
"Germany","2016-01-01",260202
"Italy","2016-01-01",155131
"Jamaica","2016-01-01",629544
"Netherlands","2016-01-01",904094
"Saint Vincent and The Grenadines","2016-01-01",232311
"United Kingdom","2016-01-01",44850236
"United States","2016-01-01",20077396
"Canada","2017-01-01",4202919
"Jamaica","2017-01-01",297195
"Netherlands","2017-01-01",295144
"United Kingdom","2017-01-01",171112
"United States","2017-01-01",2512097
