_id,name,title,rank,publicationDate,language_detect
5714dec325ac0d8aee380575,A Band Of Orcs,Descent,213279.0,0000-00-00,english
5714dec325ac0d8aee380576,A Band Of Orcs,Into The Maelstrom,210955.0,0000-00-00,english
5714dec325ac0d8aee380584,A Balladeer,I Saw You Hiding From The Rain Today,155602.0,2004-03-03,english
5714dec325ac0d8aee380585,A Balladeer,Rumor Had It,155212.0,2004-03-03,english
5714dec325ac0d8aee380586,A Balladeer,They've Shut Down Marks & Spencer,28.0,2006-05-08,english
5714dec325ac0d8aee380587,A Balladeer,"Left-Over Tears, Lost",135182.0,2004-03-03,english
5714dec325ac0d8aee380588,A Balladeer,Summer,291455.0,2006-05-05,english
5714dec325ac0d8aee380589,A Balladeer,Blank,299897.0,2006-05-05,english
5714dec325ac0d8aee38058a,A Balladeer,All I Wanted,297868.0,2006-05-05,english
5714dec325ac0d8aee38058b,A Balladeer,Pre-Berlin,301452.0,2006-05-05,english
5714dec325ac0d8aee38058c,A Balladeer,Sirens,298314.0,2006-05-05,english
5714dec325ac0d8aee38058d,A Balladeer,Winterschläfer,297944.0,2006-05-05,english
5714dec325ac0d8aee38058e,A Balladeer,Robin II,302913.0,2006-05-05,english
5714dec325ac0d8aee38058f,A Balladeer,Fortune Teller,283944.0,2006-05-05,english
5714dec325ac0d8aee380590,A Balladeer,Hamburg,255420.0,2006-05-05,english
5714dec325ac0d8aee380591,A Balladeer,Copper Shades,292068.0,2006-05-05,english
5714dec325ac0d8aee380592,A Balladeer,Swim With Sam,317084.0,2006-05-05,english
5714dec325ac0d8aee380593,A Balladeer,Herbst,288976.0,2006-05-05,english
5714dec325ac0d8aee380594,A Balladeer,Plan B,241660.0,2008-08-25,english
5714dec325ac0d8aee380595,A Balladeer,Jesus Doesn't Love Me,277657.0,2008-08-25,english
5714dec325ac0d8aee380596,A Balladeer,When Dean Was The Man (And Monroe Always Smiled),276887.0,2008-08-25,english
5714dec325ac0d8aee380597,A Balladeer,Nightmare On Elm Street,263592.0,2008-08-25,english
5714dec325ac0d8aee380598,A Balladeer,"Oh, California",258062.0,2008-08-25,english
5714dec325ac0d8aee380599,A Balladeer,Mary Had A Secret,251219.0,2008-08-25,english
5714dec325ac0d8aee38059a,A Balladeer,Superman Can't Move His Legs,297926.0,2008-08-25,english
5714dec325ac0d8aee38059b,A Balladeer,Poster Child,263847.0,2008-08-25,english
5714dec325ac0d8aee38059c,A Balladeer,Welcome To Vegas,244395.0,2008-08-25,english
5714dec325ac0d8aee38059d,A Balladeer,"Alright, Mr. Demille",227582.0,2008-08-25,english
5714dec325ac0d8aee38059e,A Balladeer,"Where Are You, Bambi Woods?",248662.0,2008-08-25,english
5714dec325ac0d8aee38059f,A Balladeer,America America,257823.0,2008-08-25,english
5714dec325ac0d8aee3805a0,A Balladeer,Oh California,258062.0,2008-08-25,english
5714dec325ac0d8aee3805a5,A Beautiful Silence,Instrumental,98050.0,0000-00-00,english
5714dec325ac0d8aee3805a6,A Beautiful Silence,There Is No Cure,125945.0,0000-00-00,english
5714dec325ac0d8aee3805a7,A Beautiful Silence,Waiting For You To Rip My Heart Out,155881.0,0000-00-00,english
5714dec325ac0d8aee3805a8,A Beautiful Silence,Sweet Dreams And Bitter Endings,98050.0,0000-00-00,english
5714dec325ac0d8aee3805a9,A Beautiful Silence,My Guardian Angel,196841.0,0000-00-00,english
5714dec325ac0d8aee3805aa,A Beautiful Silence,To Lead Astray,98090.0,2014-02-16,english
5714dec325ac0d8aee3805ac,A Beautiful Silence,You Break Me Down,1965.0,0000-00-00,english
5714dec325ac0d8aee3805b3,A Beautiful Silence,My Guardian Angel,1201.0,0000-00-00,english
5714dec325ac0d8aee3805c8,A Band Called Pain,Holy,112704.0,2007-07-10,english
5714dec325ac0d8aee380615,A Blinding Silence,A Prayer Before Dying,112422.0,0000-00-00,english
5714dec325ac0d8aee380616,A Blinding Silence,Miseries And Miracles,112422.0,0000-00-00,english
5714dec325ac0d8aee380619,A Blinding Silence,To Sleep And Dream,125944.0,0000-00-00,english
5714dec325ac0d8aee38061a,A Blinding Silence,Promises,124775.0,0000-00-00,english
5714dec325ac0d8aee38061b,A Blinding Silence,Pedestal,67201.0,0000-00-00,english
5714dec325ac0d8aee38061c,A Blinding Silence,My Final Goodbye,112422.0,0000-00-00,english
5714dec325ac0d8aee38061d,A Blinding Silence,A Walk Alone,67201.0,0000-00-00,english
5714dec325ac0d8aee380660,A Boy And His Kite,Cover Your Tracks,425322.0,2012-11-09,english
5714dec325ac0d8aee380661,A Breakaway,Say It Like You Never Meant It,71150.0,0000-00-00,english
5714dec325ac0d8aee380662,A Breath Before Surfacing,Summoning The Lord Of The Pit,160571.0,2008-07-21,english
5714dec325ac0d8aee380664,A Breath Before Surfacing,Disharmony Among Choirs,114419.0,2008-07-21,english
